time,cells
1042,9822580826647.383
1043,9823635842070.59
1044,9824684640377.521
1045,9825727257531.29
1046,9826763729295.04
1047,9827794091232.963
1048,9828818378711.313
1049,9829836626899.404
1050,9830848870770.621
1051,9831855145103.416
1052,9832855484482.299
1053,9833849923298.834
1054,9834838495752.625
1055,9835821235852.295
1056,9836798177416.469
1057,9837769354074.746
1058,9838734799268.676
1059,9839694546252.72
1060,9840648628095.219
1061,9841597077679.344
1062,9842539927704.066
1063,9843477210685.096
1064,9844408958955.836
1065,9845335204668.324
1066,9846255979794.172
1067,9847171316125.502
1068,9848081245275.877
1069,9848985798681.234
1070,9849885007600.8
1071,9850778903118.021
1072,9851667516141.47
1073,9852550877405.768
1074,9853429017472.48
1075,9854301966731.037
1076,9855169755399.623
1077,9856032413526.076
1078,9856889970988.781
1079,9857742457497.563
1080,9858589902594.564
1081,9859432335655.137
1082,9860269785888.709
1083,9861102282339.668
1084,9861929853888.225
1085,9862752529251.28
1086,9863570336983.291
1087,9864383305477.127
1088,9865191462964.924
1089,9865994837518.938
1090,9866793457052.389
1091,9867587349320.309
1092,9868376541920.375
1093,9869161062293.754
1094,9869940937725.926
1095,9870716195347.518
1096,9871486862135.127
1097,9872252964912.14
1098,9873014530349.559
1099,9873771584966.799
1100,9874524155132.514
1101,9875272267065.393
1102,9876015946834.965
1103,9876755220362.402
1104,9877490113421.309
1105,9878220651638.516
1106,9878946860494.867
1107,9879668765326.008
1108,9880386391323.158
1109,9881099763533.898
1110,9881808906862.934
1111,9882513846072.87
1112,9883214605784.975
1113,9883911210479.95
1114,9884603684498.678
1115,9885292052042.984
1116,9885976337176.39
1117,9886656563824.86
1118,9887332755777.537
1119,9888004936687.504
1120,9888673130072.5
1121,9889337359315.67
1122,9889997647666.285
1123,9890654018240.48
1124,9891306494021.967
1125,9891955097862.762
1126,9892599852483.9
1127,9893240780476.15
1128,9893877904300.72
1129,9894511246289.973
1130,9895140828648.117
1131,9895766673451.918
1132,9896388802651.387
1133,9897007238070.477
1134,9897622001407.775
1135,9898233114237.184
1136,9898840598008.604
1137,9899444474048.621
1138,9900044763561.174
1139,9900641487628.23
1140,9901234667210.459
1141,9901824323147.895
1142,9902410476160.598
1143,9902993146849.318
1144,9903572355696.154
1145,9904148123065.197
1146,9904720469203.191
1147,9905289414240.176
1148,9905854978190.127
1149,9906417180951.604
1150,9906976042308.379
1151,9907531581930.078
1152,9908083819372.809
1153,9908632774079.791
1154,9909178465381.975
1155,9909720912498.672
1156,9910260134538.164
1157,9910796150498.326
1158,9911328979267.234
1159,9911858639623.777
1160,9912385150238.26
1161,9912908529673.008
1162,9913428796382.97
1163,9913945968716.31
1164,9914460064915.006
1165,9914971103115.434
1166,9915479101348.965
1167,9915984077542.543
1168,9916486049519.27
1169,9916985034998.984
1170,9917481051598.838
1171,9917974116833.865
1172,9918464248117.56
1173,9918951462762.436
1174,9919435777980.594
1175,9919917210884.287
1176,9920395778486.47
1177,9920871497701.367
1178,9921344385345.012
1179,9921814458135.807
1180,9922281732695.066
1181,9922746225547.563
1182,9923207953122.066
1183,9923666931751.887
1184,9924123177675.402
1185,9924576707036.602
1186,9925027535885.607
1187,9925475680179.207
1188,9925921155781.379
1189,9926363978463.81
1190,9926804163906.422
1191,9927241727697.879
1192,9927676685336.11
1193,9928109052228.813
1194,9928538843693.969
1195,9928966074960.348
1196,9929390761168.006
1197,9929812917368.795
1198,9930232558526.852
1199,9930649699519.1
